timestamp,node_id,node_name,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,roll,pitch,yaw,rep_number
1767366964.519097,1,left_wrist,0.9418,1.3259,-0.3963,48.79,98.49,268.8,0.534998626852367,0.6439947402517524,-0.5151778434454372,-0.18340946926772533,112.30896399632087,-18.361381904891285,-64.94647642016174,0
1767366964.519097,2,right_wrist,0.4953,-1.0512,-0.3631,-79.17,122.64,-273.7,-0.374632439239771,0.90837467015007,-0.15960830732998238,0.09503253300985376,-134.60602866368572,-3.041622281587698,-21.203550627189188,0
1767366964.5710862,1,left_wrist,1.0507,0.5178,-0.4548,18.06,149.73,260.05,0.5798533875451882,0.5948588270674863,-0.5520337090878085,-0.07191528935505413,112.40827086532184,-33.68580837021284,-62.813420628031906,0
1767366964.5710862,2,right_wrist,0.8325,-1.5006,-0.2752,43.75,122.22,-256.06,-0.3715876346754623,0.9057885477880668,-0.07442026310438536,0.1895556933773143,-132.90991975729705,-16.743489237689847,-16.73208172958027,0
1767366964.661572,1,left_wrist,1.0507,0.5178,-0.4548,18.06,149.73,260.05,0.6135417655963985,0.5350020904478485,-0.5793737759495997,0.04080799954897677,111.81113684408936,-48.9908455882564,-60.278727441492954,0
1767366964.661572,2,right_wrist,1.0136,-1.037,-0.469,-162.47,111.93,-198.59,-0.1966740876854547,0.9229520026513841,0.021534835845203146,0.33017443099067145,-153.66198571676352,-38.16593028569441,-6.582090698224654,0
1767366964.715891,1,left_wrist,1.2234,0.4802,-0.3206,24.5,106.89,202.65,0.6329206293852147,0.4282722808438769,-0.6080415424945727,0.2151274342342877,110.74765651853532,-72.5445177054994,-55.93702881004587,0
1767366964.715891,2,right_wrist,1.0492,-0.3518,-0.4182,-50.05,93.1,-159.25,-0.15410539154216116,0.9077155621938391,0.07089941718146549,0.3837671938716077,-161.09346461451725,-45.935296621702975,0.8594497502765761,0
1767366964.7702231,1,left_wrist,1.2293,0.2918,-0.2669,25.9,81.13,151.27,0.6307566861717314,0.3870613541551787,-0.612253560725821,0.27834347189716635,108.50206626696145,-81.05500169842071,-52.180243402935,0
1767366964.7702231,2,right_wrist,1.0492,-0.3518,-0.4182,-50.05,93.1,-159.25,-0.11126202739435447,0.8858944768650345,0.11889375258342734,0.4343685217839288,-171.07957025212767,-52.756064778605186,10.85708037265824,0
1767366964.860069,1,left_wrist,1.2293,0.2918,-0.2669,25.9,81.13,151.27,0.6262822177140713,0.34548748444866767,-0.6120737435592273,0.3373050760214993,58.807909743703476,-88.6714182508142,-1.065845291261494,0
1767366964.860069,2,right_wrist,1.0302,-0.3113,-0.3426,-110.32,49.42,-83.44,-0.018105891479839615,0.8560658457848656,0.15200367977089993,0.4936783626111933,166.90450927746627,-58.29297707718361,27.461831487379538,0
1767366964.913298,1,left_wrist,0.9931,0.1288,-0.2133,33.67,41.51,70.49,0.6199189644661843,0.3318926897157363,-0.6076284382707319,0.3692362401134254,-42.0491835484272,-86.81402893472097,101.51595109053518,0
1767366964.913298,2,right_wrist,1.0331,-0.1898,-0.4099,-42.28,18.34,-30.17,-0.00036905195992561714,0.8496681134664348,0.15196353212999908,0.50494657703723,162.6782788251636,-59.113532780224055,30.154151402161602,0
1767366964.963847,1,left_wrist,1.1043,0.2977,-0.2918,15.12,-0.84,6.3,0.6091323638508952,0.32382020920290094,-0.6015314194083035,0.4028128434966319,-53.53179761780559,-83.56640505268885,115.47564944538843,0
1767366964.963847,2,right_wrist,1.0331,-0.1898,-0.4099,-42.28,18.34,-30.17,0.01718509771233625,0.8430903118447403,0.15160216919875977,0.5156744911127432,158.37794106888447,-59.803979676996065,32.92137151842286,0
1767366965.0178251,1,left_wrist,1.1971,0.3231,-0.3601,-74.41,-86.38,-132.09,0.6175540687406632,0.35583714226364593,-0.6178637187315209,0.33204115022501357,119.8545082491946,-88.07159295009284,-61.636552621625746,0
1767366965.0178251,2,right_wrist,1.0555,-0.387,-0.4504,63.42,-68.74,81.41,-0.023831338508258488,0.8632710716252326,0.1328169869204036,0.4863689671281595,170.49266786319745,-57.78642964702484,22.748354671699765,0
1767366965.072584,1,left_wrist,1.2664,0.4656,-0.3655,-133.84,-112.84,-196.07,0.6312767406167498,0.3893872340339093,-0.6332528199174607,0.22103874048297087,116.44049230244711,-76.32560884953128,-64.90452483484263,0
1767366965.072584,2,right_wrist,1.2024,-0.2416,-0.4665,56.28,-121.73,134.96,-0.06966654823574397,0.8924957758927582,0.09289323654457232,0.4358539992644034,-175.93478287015105,-52.273331377708686,9.88879877217254,0
1767366965.159719,1,left_wrist,1.2664,0.4656,-0.3655,-133.84,-112.84,-196.07,0.6357424704498666,0.4172813717864066,-0.6403856242649719,0.10776836391593497,113.2236675128259,-64.71308695523798,-68.49524676049313,0
1767366965.159719,2,right_wrist,1.2634,-0.446,-0.5256,188.09,-171.5,181.51,-0.2696673430088901,0.9246331148997468,0.03018527139594479,0.26724890333932244,-145.86218251890017,-30.696762810023387,-5.895085792754538,0
1767366965.222038,1,left_wrist,1.4581,1.1092,-0.4612,-15.96,-144.62,-269.22,0.5740185680334423,0.5312287387156661,-0.6129115569762562,-0.11241945579098203,112.8933733551057,-35.746799946004074,-74.02250984361385,0
1767366965.222038,2,right_wrist,1.2415,-0.8808,-0.5295,140.56,-183.4,238.35,-0.3499398524984631,0.9218821768679327,-0.02760089856053411,0.16405347300574497,-136.98558904122302,-16.448812844960088,-9.949408796588331,0
1767366965.30991,1,left_wrist,1.405,0.9296,-0.3138,41.79,-153.37,-306.81,0.5045796511852209,0.6075256872018832,-0.576863861760002,-0.20866240676034034,115.3063211501201,-19.184550464747055,-74.81586225900175,0
1767366965.30991,2,right_wrist,0.9209,-1.0414,-0.425,44.24,-168.63,282.52,-0.43273309044631153,0.8819577580084573,-0.1772274259332007,-0.059017158679249324,-129.79934642729788,14.92092019884936,-15.703724964163202,0
1767366965.36364,1,left_wrist,0.7466,0.4753,-0.3211,-3.36,-132.09,-296.31,0.442417885527306,0.6615426227413347,-0.5239351420171816,-0.3035123388290819,115.15774217344772,-3.5559877414661916,-74.4987727313942,0
